"","book","date","reviewer","rating","review"
"1","Harry Potter and the Half Blood Prince"," Jan 20 2014"," C G Drews","it was amazing"," Read Harry Potter they said It ll be fun they said Our childhood was built on Harry Potter they said WELL YOUR CHILDHOODS WERE ALL HORRIBLE OMG WHAT IS THIS BOOK WHAT IS THIS MESS I M IN Excuse me but that large salty lake where my life used to be is my tears Yes yes this means I loved it But SERIOUSLY Nooooot okay At the end there especially I couldn t put the audio down so I was wandering about my house in a blind daze listening instead And because every human and their fluffy poodle has probably sensibly reviewed this book BAH I m just going to make a list of things I loved and things I didn t My Intense And Passionate LOVES Harry Ginny yes I was dubious at first Like I think romance is NOT JKR s strong point plus when she gets to a romantic scene she ends the chapter HHAHAH ADORABLE Not that I minded I just I think she s not good at romance But omg there was that moment after the Quidditch match YUP You know what I m talking about Excuse me my heart just ran around in circles screaming and shipping Hermione I adore her but I gotta admit she was a little bit too stuffy BUT I STILL LOVE HER I love her love for learning I also adore how sensible Ginny is Fred and George s joke shop gives life Also death probs but liiiiife I am utterly in LOVE with the whole concept of Hogwarts I mean I think it s stupid that they have to write with a quill and ink can t they just enchant the quill to write for them and they seem to get an excessive amount of homework BUT It s all so vivid and detailed and it literally feels like Hogwarts is A REAL PLACE I totally get why people wail about their letters going missing Speaking of detail me likey I always felt inside the story Plus the audio book narrated by Jim Dale is GREAT I totally recommend it I think Hermione s voice had a tendency to sound like an insufferable goat but I got used to it Harry s voice was perfection I also particularly liked Harry in this book I JUST LOVE HARRY 3 He s snarky but he s lost some of the angriness from bk 5 He s got snarky quips at the ready but he s also intensely good Like he s just a really GOOD chap who makes bad decisions but really means well ZOMG flails about He was definitely my favourite character in this book ALSO DUMBLEDORE WAS GREAT I love Dumbledore and how he s always polite and kind and smiley view spoiler CAN WE TALK A MINUT EHOW I M NOT OKAY THAT HE S DEAD LIKE WHAT EVEN THE FLYING HECK OF BROOMS NEST TAILS THAT DOESN T MAKE SENSE BUT IT SHOULDN T BECAUSE NOTHING MAKES SENSE Dumbledore no Come baaaaaaaack breaks down into a mess I am also intensely furious that his weakening himself to get the horcrux was useless MAD Okay I AM MAD Character deaths where they failed are the worst there are hide spoiler My Intense and Passionate LOATHES Hhahahha you ready for this Okay so question WHY do they sometimes go places and buy food and sometimes they just magic it Like Mrs Weasely magics onion soup out of nothing for Harry But in the next chapter Harry and Ron are peeling sprouts LIKE WUT This makes no sense to me Why didn t Dumbledore pour the evil potion on the ground instead of drinking it Just wannna know How the FLYING FRIKKIN BROOMSTICKS can anyone possibly convince me Snape is still on the good side Because I don t even care He can go abra kadabra himself to Timbuktu and DIE THERE THANKS There is no repentance after this I don t even care what the reason is in book 7 but Harry you are an idiot to name your kid after Snape I HOPE SNAPE DIES DID I MENTION MY HATE FOR SNAPE YET Oh and another thing I am so angry at Snape arghhhqqwqq Okay Good now I m calm Thank you HAHHAHHAHAHTE SNAPE Yes I truly am calm this time I m good So I also am fairly annoyed about Voldermort s Tom Riddle backstory Because he read like he was straight out of a psychopath text book which I found monstrously unimaginative Attractive calm subtle bully kleptomaniac limited emotional reach charmer smooth blah blah Yes I can just read a book about psychopaths and that s Voldey s description I wish there d been a little more ingenuity in there I really also dislike Ron I KNOW Travesty But he s a bully He was bullying first year s the whole time turfing tem off chairs scaring them bossing them around taking stuff off them in the name of prefect Like how is that good How is that okay I will not forgive Ron for all this And also the fact that he s a downright BRUTE to Hermione How can I ship them when he s so rude and demeaning to her I DON T Hermione deserves better And I don t buy the She completes him by sorting him out because I think all humans should take responsibility for their actions Hermione shouldn t HAVE to force Ron into a better person and be his conscious AGH Not shipping that Okay I m done But just whispers I hate hate hate Snape So basically YES I had a fantastic time with this book I loved the audio I loved the story I loved Harry and the world just feels so big and rich and visual I get the intense fandom for this I DO GET IT After being so angry and 1000 done in with book 3 I can successfully say I can t WAIT to read the last book now And then watch all the movies And then I ll finally be caught up omg Only took me like 10 years more"
"2","Harry Potter and the Half Blood Prince"," Oct 09 2013"," Whitney Atkinson","it was amazing"," i dont want to talk to anyonedont even look at mei was expecting it and i still cried for like 30 minutes"
"3","Harry Potter and the Half Blood Prince"," Jul 09 2007"," Aloysius","it was amazing"," This review has been hidden because it contains spoilers To view it click here I was first introduced to Harry Potter in a Children s Lit class in college I had resisted this popular phenomenon until I was forced to pick it up for a grade and Book 1 was short enough that I could read it in the course of 2 hours I have to admit I wasn t impressed to any extent nor did I dislike the experience but I was critical on grounds of its being derivative even if reading the first led to reading the second After all if I was bored and looking for something light I could do w I was first introduced to Harry Potter in a Children s Lit class in college I had resisted this popular phenomenon until I was forced to pick it up for a grade and Book 1 was short enough that I could read it in the course of 2 hours I have to admit I wasn t impressed to any extent nor did I dislike the experience but I was critical on grounds of its being derivative even if reading the first led to reading the second After all if I was bored and looking for something light I could do worse than a fantasy about a child wizard who fights evil with his friends But it was really the third book with its increasing darkness that took me in and made me a fan With a movie coming out for Order of Phoenix and Deathly Hallows on the horizon I decided I would reread Half-Blood Prince I figured it would take four sittings of course with its 600 pages but time does fly when reading this one and I ve come to the conclusion that this is my favorite so far What I wouldn t have been willing to admit in college that I m perfectly comfortable saying now is that J K Rowling is a fantastic storyteller she writes with great clarity wit and humor and she s created a cast of loveable characters with whom most people due to the common experience of growing up can relate closely That said the reason for my preference for the 6th book is that it s the most emotionally rich in the series Here we get the backstory of Voldemort spoiler alert through a series of flashbacks coming in HP by way of magically extracted memories and in this way we come to understand the villain s similarities and differences with our hero After all the villain has to have reasons for committing heinous acts and until now we don t know what these are Voldemort is from a once-powerful wizard family reduced to poverty that lives in a dilapidated hovel on the edge of a small town wary of outsiders and their main point of pride is their pure blood the lineage having cross-bred for generations so as not to pollute the line Voldemort s mother lives with her father and brother and yearns for the love of a nonmagical man muggle in this world and when her father and brother are arrested she uses the opportunity to bewitch her beloved and run off She ends up pregnant the man deserts her and she dies while giving birth to her half-wizard half-muggle son thus making him an orphan like Harry Faulkner anyone But whereas Harry comes to Hogwarts and befriends Ron and Hermione creating unity and strength through positive emotions Voldemort when growing in the orphanage shuns other children torturing them at times without the awareness of adults and stealing their possessions What fuels him is his hatred of his beginnings his mother s weakness at having died like a common person despite being a witch and the muggle blood inherited from his father Over the course of his time at Hogwarts Voldemort charming as only evil can be learns to win over people as a means to an end and disguise his insidious purposes but he never befriends anyone He moves through his hatred further away from many of the emotions that drive Harry namely the desire to protect the people he loves and avenge his parents death With Dumbledore s help in exploring Voldemort s past Harry begins to understand that he s come to be where he is through the choices he s made that his greatest strengths are an alliance with his friends and that this might hold the key to destroying his enemy a fact that s made all the more poignant when Dumbledore in an all-out assault on Hogwarts by Voldemort s Death Eaters is killed at the end The stakes are higher than before the action and pace increase as the conclusion draws near and things are looking darker than ever which is the setup that any fan wants when the end is looming and it leaves us with the question How will our hero prevail more"
"4","Harry Potter and the Half Blood Prince"," Jan 31 2008"," Chris","really liked it"," Since pretty much everyone I know has read these books I figure reviewing them is pretty pointless But with the new book coming out in a couple of days I have to go through them beginning to end To make the reviews more entertaining I will be doing them in a variety of unexpected formats For this review I will be writing as a power ballad Intro Piano and strings You were always by my sideYou will always be my guideBut the road I m onGoes on and onAnd I ve left you beHIIIIIND Big crunchy electric guitar DUMBLEDORE I will never forget the strength you showed DUMBLEDORE I will never forget the debt you re owed DUMBLEDORE And when I face the final hour DUMBLEDORE I will call on all your power Guitar solo There s no way back againBut if I can find a friendTo see me thoughAnd remember youI ll make it to the EEEENNNND DUMBLEDORE When I finally catch that snake in the grass DUMBLEDORE You will be able to rest at last DUMBLEDORE You know he never will escape DUMBLEDORE I m comin for you SNAAAAAAAAPE Guitar solo Guitar solo with children s choir singing Run Snape Run Guitar solo with fireworks Drums explode EDITOR S NOTE Yes I know it s horrible I m not proud more"
"5","Harry Potter and the Half Blood Prince"," Jun 26 2010"," Raeleen Lemay","it was amazing"," Re-Read in December 2014 for Harry Christmas To YouThis is DEFINITELY one of my top favorite books in the series Shit just gets so real My thoughts -Dumbledore is so FREAKING sketchy in this book He s so secretive and he s always sneaking around not explaining anything to Harry -I m always so proud of Fred and George for getting their own joke shop I don t know what it is I just feel like a proud mom -ALL OF THE TOM RIDDLE BACKSTORY THE GAUNT HOUSE OMG I literally need a whole book about Tom Riddle s life That would make me happy -While reading this book there were about a hundred times when I was just amazed by irony at the whole Snape Half-Blood Prince situation Harry is always going on about how great the Prince is and how terrible Snape is etc I loved it - Tom used to collect trophies said Dumbledore This will be important later WHY COULDN T HE HAVE JUST EXPLAINED HORCRUXES TO HARRY THEN COME ON MANNNNN -the fact that Voldemort went back to Hogwarts to ask for a job just is hilarious to me I m picturing a sort of weird looking Tom Riddle like plz im evil but i luv hogwartz -when you find out that the Defence Against the Dark Arts job is actually cursed thumbs up - I love you Hermione RON ACTUALLY SAID THOSE WORDS HE SAID THEM AND MY HEART SANG He meant it in a friendly way but Hermione definitely loved hearing it -Harry and Ginny are both so sassy and I love it when they become sassy together 3-at the end when Hagrid said something along the lines of Dumbledore will be able to fix it right after Harry saw him die Saddest thing ever This book and its movie are definitely up there on my favorites list more"
"6","Harry Potter and the Half Blood Prince"," Jun 03 2014"," Bookdragon Sean","it was amazing"," I m yet to mention one of the most important characters in this series in a review I m of course talking about Severus Snape Severus the unsung hero Severus who sacrificed his own soul Severus who loved another more than life itself Severus the half-blood prince- the truth about his character was and will likely always be one of the most surprising twists I ve ever read in fiction The set up is all in this book"
"7","Harry Potter and the Half Blood Prince"," Jun 21 2014"," Kassidy","it was amazing"," It seems like by now everyone would realize they should listen to Harry Such a sad end I knew that was going to happen before starting the series but didn t know when It still got me in the feels though The book as a whole was really fun and entertaining I love the mystery and learning more about Voldemort The romance drama was funny as well I can t wait to see what adventures the next book brings and how it all concludes"
"8","Harry Potter and the Half Blood Prince"," Apr 02 2015"," Kai","it was amazing"," I am a wizard not a baboon brandishing a stick Harry Potter is my life My life is Harry Potter Once again there are so many great and amazing scenes and quotes pressed between these pages so much truth and emotion How could it not fall for it again and again and again Some of my favourite scenes in no particular order -Fleur and Mrs Weasly falling into each others arms crying just thinking about it makes me teary but no really Fleur is such an amazing and slightly underrated character She lives with the Weasleys where honestly no one makes it easy for her Molly is fighting a constant battle with her but Fleur doesn t back off Everyone is convinced she is vain and arrogant but it s that moment in the hospital wing where - finally - these two amazing women recognise each other as equals where Fleur gains acceptance and much more than that respect Everyone expected her to leave Bill for selfish reasons no one expected that she really truly loves him But by proving that she would stand by him whatever might happen - and everyone knew bad things were going to happen - she opened Molly s eyes and Molly saw her for the first time for what she really was A strong and fierce woman and wife as she was herself -the Memories Dumbledore at the orphanage Tom Riddle visiting Hepzibah Smith and Voldemort coming to ask for the DADA teaching job - The Other Minister is one highly interesting and funny chapter -Dumbledore s visit at the Dursley s-Utter silence before Hermione accidently punches herself with a telescope -Ginny finally getting more spotlight being the sassy and talented witch she is-Hermione pretending to go out with Cormac just to make Ron mad- I expect your trainers are too small Won-Won said a voice behind them and Hermione stalked past smirking -Ron s love potion episode-Harry unknowingly discovering you-know-what while hiding his Potions books in the Room of Requierement -Professor Trelawney actually predicting the right stuff just to dismiss it as rubbish- This is Mr Dumberton- sorry Dunderbore He s come to tell you - well I ll let him do it There are some scenes however that I do not like to read where I have to stop myself from skipping them Firstly the dreadful second Quidditch match secondly the Sectumsempra scene with Malfoy and Snape thirdly Dumbledore suffering in the Cave They are not very enjoyable Something that will forever annoy me is how absolutely no one believes Harry s Malfoy-is-a-Death-Eater theory He keeps telling Ron and Hermione about it but they ignore him And then again do you really expect me to believe that the brightest witch of her age would only get and Exceeds Expectations on her Defence Against The Dark Arts O W L Nope Doesn t make sense Especially not after Dumbledore s Army In a nutshell I love Harry Potter Not sure I mentioned that before Find more of my books on Instagram more"
"9","Harry Potter and the Half Blood Prince"," Feb 21 2017"," emma","it was amazing"," Reminder that all of my Harry Potter reviews contain unmarked spoilers and lots of em If you re one of the two people on Goodreads who hasn t read this series this review is not for you So my dear underside-of-a-rock-residing friends https emmareadstoomuch wordpress co This review will be interesting because this book was far far far from perfect and yet I am utterly determined to give it 5 stars Which I have only given to the first book in this series God how do you talk about this book It s really amazing It is really hard for me to feel anything while reading a book or generally living my life For example I felt nothing when Sirius died Nothing throughout most of this series actually And nothing in this book because nothing happened and everyone survived and everything is sunshiney and joyful Ugh I tried The last hundred-ish pages of this book really tore me apart Okay even that s not true I ll just come out and say it I m really f cking sad that Dumbledore died I love him so much He s high up in my top 5 characters Do I even have a top 5 I m devastated which makes me even more upset because I have a life to live today and can t just lay around and wallow in fictional pain I m going to move on in the hopes that I just Forget Because I don t like this at ALL Here we see Harry Potter - who I think few will argue has been a fairly mediocre character up to this point - become AMAZING He s motivated solely by his need to work against injustice and evil He realizes his parents legacy within himself He denounces the sucking up of others He works hard in school He is a good friend even when his two BFFS are being childish to one another plus refusing to believe him In short he s really really five-star-level great here Gorgeous character development in 650 pages I didn t think I liked Ginny much because I didn t remember this book well like at all But she is so great So funny I wish there was more of her in this book Also I ll fight anyone who says Dumbledore is the real villain of this series He s really not Cough Snape is cough AND YOU RE NOT EDGY PEOPLE WHO HATE DUMBLEDORE BUT LOVE SNAPE YOU RE JUST DUMB I fell deeply in love with the guy Dumbledore not Snape BLEH AND I F CKING MISS HIM Goddamn it Trying to forget didn t last very long Anyway I missed Hermione and Neville Hermione was absolutely not well-represented here at all Maybe it s a good thing she s not a Ravenclaw RavenclawPride because she works fully against logic throughout this book And when she s not she just like refuses to believe Harry Ron is soooooooooo annoying Is he anyone s favorite character He s like Fred or George if one of them was totally childish and attention-starved and mean In fact Ronald is a pretty impressive character for the number of gross character traits he embodies despite being supposed to be a good character Mean immature rude jealous definition of an inferiority complex Bleh Harry and Ginny I m totally for BUT THE OTHER RELATIONSHIPS IN THIS BOOK ARE SO BORING Can we do Hermione and Fred instead Ron and Luna would be cute Or God forbid some LGBT representation WE KNOW YOU RE A SUPPORTER JOANNE Don t even get me started on Lupin and Tonks Speaking of supposedly-good characters downfalls I m no longer a Hagrid fan It started with the last book and came fully around here Like at a certain point the man needs a character trait Liking weird animals making bad food and being humongous don t count Harry and Hermione s constant stubbornness is annoying Plus makes the plot repetitive once in a while Also Tonks You know what I guess I AM going to get started on Lupin and Tonks She was a hilarious badass in the last book totally depressed and weak in this one I know I sound like a total emotionless asshole here but that s who I am and she s annoying in this book AND IT S TOTALLY FINE BECAUSE SHE S JUST BEING A SPINELESS IDIOT OVER SOME DUMB SHABBY MAN Kill me please Then I can see my beloved Dumbledore again Too much Snape Cannot WAIT to write the rant on him Too much Draco Why do people romanticize that little weirdo so much I guess I get the temptation but he s a bully at best and a spineless traitor at worst I hate Kreacher and I hate Dobby I hated Winky too I might hate house elves If that makes me racist against a species of fictional character SO BE IT I GUESS I miss Fred and George and the fun people from the Order if they existed and Hermione and Neville aren t here nearly enough The price of Harry s amazing and concise character development is WAY too many bad characters not nearly enough of the good ones EXCEPT DUMBLEDORE UGHHHH I M SO SAD I think my inability to cry is making this worse Maybe if I just creepily sobbed in front of my roommate for a few minutes I d feel better Damn you my lack of emotions Just kidding love you But I want to give this book five stars more than anything It was so compulsively readable more than any other book since the first for me And it s the last book where our pals are attending Hogwarts That makes me so sad It s such a gorgeous setting and I m going to miss it so much WHY IS THIS BOOK SO SAD If Deathly Hallows is any sadder I ll be seriously impressed And also seriously screwed And okay even though I was a harsh critic of these books I m really going to miss this series I ve been rereading it on and off obviously for three months and it s been a fun ride This is one of the greatest settings of all time And since I m rereading it after 10 years it s like saying goodbye twice AND I HATE ENDINGS Bottom line Okay THIS is my favorite Harry Potter book Anyone else s Unreal character development tragic and lovely adieu to a gorgeous setting ability to make me feel real deep emotion compulsively readable An absolute dream ----------ORIGINAL REVIEW---------------Ron and Hermione s will-they-won t-they is a total snoozefest I propose Fred Hermione and Ron Luna instead Also seven more books more"
"10","Harry Potter and the Half Blood Prince"," Feb 24 2016"," Aj the Ravenous Reader","it was amazing"," Buddyread with the cutest Trixi sniffs I have actually finished this several days ago but I spent those days mourning for the loss of one of my favorite characters of all time and before I start bawling my heart and eyes out again let me straight away proceed to the random thoughts while and after reading the book sniffs 1 Gasps Professor Snape 2 Harry s Quidditch Captain Yaaas 3 Weasleys Wizzard Wheezes Say this ten times 4 Malfoy s head on Pansy Parkinson s lap and Pansy stroking his head shudders 5 Slughorn s belly preceded him out of the door Bahaha6 Potions class has never been this cheerful Thanks Grampy Sloghorn and Harry has never performed better Thanks to cheating Lol 7 Ron you bollocks Stop being an idiot WonWon 8 Voldemort as a student seems to me even more sinister than the Dark Lord he already is shivers 9 Like Harry I am Dumbledore s man through and through Take that Rufus 10 I d go back to school anytime if it meant having Professor Dumbledore as a teacher 11 Aherm Why do you keep looking for Ginny now Harry 12 There s a reason a Dark Arts teacher stays only for a year It s all clear now 13 Who would have thought that the once timid Ginny will blossom into a confident beautiful charming funny and best of all snarky girl 14 Chapter 24 will particularly make you swoon Gaaah view spoiler I ship Harry and Ginny 3 hide spoiler 15 RIP Aragog 16 For the first time I solved the mystery view spoiler I have guessed early on in the story that the Half Blood Prince was Snape Yaaas hide spoiler 17 I knew there was a reason Harry spent so much time with Professor Dumbledore I can t sobs Some of the things characters missing in the movie 1 Kreacher and Dobby2 Bill and Fleur3 Dumbledore s Army and the Order of the Phoenix putting up a fight against the Dark Eaters 4 Harry breaking up with Ginny which reminds me of Peter Parker and Mj Finally as a simple tribute to the wisest kindest most revered and one of the most powerful wizards whose death out of the many deaths hurts me the most that I cried so much I may have cried harder than Hagrid the following is a collection of a few of his great thoughts and words that ll be forever etched in our hearts sniffs In fact being-forgive me- rather cleverer than most men my mistakes tend to be correspondingly huger People find it a lot easier to forgive others for being wrong than being right It does not do to dwell on dreams and forget to live Words are in my not-so-humble opinion our most inexhaustible source of magic Capable of both inflicting injury and remedying it The pain is part of being human The fact that you can feel pain like this is your greatest strength To the well organized mind death is but the next adventure It s not really goodbye after all On a lighter note it s beautiful Katerina s birthday today let s spare a few moments to greet her a HAPPIEST BIRTHDAY Even though you re quite busy for Goodreads and reading atm I hope you re doing something that s making you happy today Enjoy 3 more"
